title,summary,prep_time,cook_time,servings,ingredients,instructions,calories,carbohydrates,protein,fat,saturated_fat,polyunsaturated_fat,monounsaturated_fat,trans_fat,cholesterol,sodium,potassium,fiber,sugar,vitamin_a,vitamin_c,calcium,iron,image_url,Vegetarian,Low-Purine,Low-fat/Heart-Healthy,Low-Sodium,Lactose-free,Peanut Allergy,Shellfish Allergy,Fish Allergy,Halal or Kosher
"Tomato, Grilled Eggplant and Salted Egg Salad",Grilled Eggplant with salted Egg and Tomato Salad is simple to make yet full of fresh and savory flavors.,10 minutes,10 minutes,4,"2 large eggplant|1 cup grape tomatoes, halved (or 3 Roma tomatoes, chopped)|2 salted duck eggs, peeled and chopped|1 tablespoon green onions, chopped|1/4 cup vinegar|1 teaspoon fish sauce|1 shallot, peeled and minced|pepper to taste","With a knife or the tines of a fork, prick eggplant.|Place eggplant directly on the gas stovetop over high flame and roast, occasionally rotating with tongs, until slightly softened and skin is evenly charred.|Let cool to touch and peel skin. Gently rinse under cold, running water to rid of stray skin and coarsely chop flesh.|In a serving platter, layer tomatoes, grilled eggplant, and salted eggs.|When ready to serve, drizzle with vinegar dressing and gently toss to combine. Garnish with green onions.|For the Dressing: In a small bowl, combine vinegar, fish sauce, shallots, and pepper to taste.",103,16,5,2,0,0,0,0,81,156,663,7,9,495,10.9,37,1.1,https://www.kawalingpinoy.com/wp-content/uploads/2018/05/grilled-eggplant-with-salted-egg-salad-7.jpg,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Filipino Mango and Tomato Salad,"Mango and Tomato salad is a refreshing side dish you'll love year-round. It's colorful, delicious, and nutritious! A tasty accompaniment to grilled meat or seafood!",15 minutes,15 minutes,4,"1 large ripe but firm mango, peeled and julienned|1 large Roma tomato, seeded and diced|1/2 small red onion, peeled and diced|1/4 bunch cilantro, stemmed and coarsely chopped|1/4 cup vinegar|3 tablespoons fish sauce|1 teaspoon canola oil|1 tablespoon sugar|1/4 teaspoon freshly-ground pepper","In a bowl, combine vinegar, fish sauce, and oil. Add sugar and pepper. Whisk together until well blended.|In a bowl, combine mangoes, tomatoes, red onions, and cilantro.|Drizzle with vinaigrette dressing and toss gently to combine.|Cover and refrigerate for about 10 minutes to allow flavors to meld.",68,13,1,1,1,1,1,1,0,1062,187,1,12,725,22,18,1,https://www.kawalingpinoy.com/wp-content/uploads/2015/08/Filipino-Mango-and-tomato-salad-1-1.jpg,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Tuna Pasta Salad","Creamy Tuna Pasta Salad is hearty, flavorful, and makes a great side dish or light meal. Perfect for parties, potlucks or picnics and is sure to be a crowd favorite.",10 minutes,20 minutes,4,"1 cup uncooked fusilli pasta|1 can (6.35 ounces) tuna, drained well|1/4 cup gherkins pickles, chopped|1/4 cup red bell peppers, chopped|1/4 cup celery, chopped|1/2 red onion, peeled and chopped|1 hard-boiled egg, peeled and chopped|1/4 cup mayonnaise|1/2 tablespoon pickle juice|salt and pepper","In a pot of boiling water, cook pasta according to package directions until al dente.|Using a colander, drain pasta and rinse well. Let cool completely.|In a large bowl, combine cooked pasta, tuna, gherkins pickles, red bell peppers, celery, red onions, hard-boiled eggs, mayonnaise, and pickle juice.|Gently stir to combine. Season with salt and pepper to taste.|Refrigerate for about 30 minutes to allow flavors to meld. Serve cold.",218,14,12,13,2,0,0,0,68,322,181,1,2,425,13,26,1,https://www.kawalingpinoy.com/wp-content/uploads/2020/05/tuna-pasta-salad-2.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Chayote and Egg Stir-fry,"Chayote and Egg Stir Fry is a delicious, nutritious Filipino dish that is budget-friendly and easy to prepare. It's perfect for hectic weeknights when you want a tasty meal in under thirty minutes.",10 minutes,20 minutes,6,"2 tablespoons oil|6 eggs, well beaten|1 onion, peeled and chopped|2 cloves garlic, peeled and minced|4 chayote, peeled and cut into ¼ inch strips|1 packet (8 gms) Maggi Magic Sarap|pepper to taste","In a wide pan, heat about 1 tablespoon of oil. Add beaten eggs and cook, stirring occasionally, until set but still slightly wet. |Add the remaining 1 tablespoon oil to the pan. Add onions and cook until softened. Add garlic and cook until softened.|Add sayote and stir to distribute. Cover and cook, stirring occasionally, until tender-crisp. |Season with Magic Sarap and pepper. Stir to distribute.|Add the scrambled eggs, breaking them apart as desired.",132,7,7,9,2,2,5,0.04,164,65,212,2,2,252,8,59,1,https://www.kawalingpinoy.com/wp-content/uploads/2024/11/chayote-egg-stir-fry-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Pineapple Coleslaw","Coleslaw with juicy pineapples for a tropical twist on a classic side dish. Sweet, creamy, and tangy, it's a guaranteed crowd-pleaser. Perfect for all your summer cookouts and picnics!",10 minutes,10 minutes,8,"1 small cabbage, shredded (about 4 cups)|1 large carrot, peeled and julienned (about 1 cup)|1/4 small red cabbage, shredded (about 1/2 cup)|1 cup mayonnaise|2 tablespoons vinegar|2 tablespoons sugar|1/4 teaspoon salt|1/2 cup pineapple tidbits, drained|2 tablespoons raisins","In another bowl, combine mayonnaise, vinegar, sugar, and salt. Whisk together until smooth.|In a large bowl, combine cabbage, carrots, and red cabbage.|Add mayo dressing to cabbage slaw and gently toss together until well-distributed.|Add pineapple and raisins and gently toss to combine.|Chill for about 20 to 30 minutes in the refrigerator to allow flavors to meld.",270,19,2,21,3,0,0,0,11,281,329,4,13,1565,53,62,0.9,https://www.kawalingpinoy.com/wp-content/uploads/2018/06/creamy-pineapple-coleslaw-730x973.jpg,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Thai Chicken Salad with Spicy Peanut Dressing,"It's a medley of cubed chicken pieces, chopped peanuts, fried wonton strips, and crunchy salad ingredients with a creamy and spicy peanut dressing that's full of flavor and texture. Perfect for a hearty lunch or dinner!",20 minutes,5 minutes,4,"4 (4 ounces each) boneless chicken breast|salt and pepper to taste|1 package (12 ounces) wonton wrappers, sliced into thin strips|1 cup canola oil|1 Romaine lettuce heart, chopped|1/2 head cabbage, chopped|1/4 head red cabbage, shredded|1 large carrot, peeled and shredded|1/2 red bell pepper, seeded and chopped|2 green onions, chopped|1/4 cup peanuts, chopped","In a heavy-bottomed pot over medium heat, place chicken in a single layer and enough water to cover. Add salt and pepper to taste. Bring to a boil and then reduce heat to barely a simmer.|Cover and continue to simmer for about 10 minutes. Turn off the heat and allow the chicken to cook completely in hot water for about 15 to 20 minutes.|Remove chicken from the liquid, and refrigerate to completely cool. Cut the breasts into 1-inch cubes.|In skillet over medium heat, heat oil. Add wonton strips and cook for about 1 to 2 minutes or until golden and crisp. Remove from pan and drain on paper towels. Set aside.|In a large bowl, combine chicken, lettuce, cabbage, red cabbage, carrots, bell pepper and green onions.|When ready to serve, add peanut dressing and gently toss to combine. Top with fried wontons and peanuts.|For the dressing, with hands, squeeze ginger to extract juice. In a bowl, combine peanut butter, vinegar, garlic, Sriracha sauce, ginger juice, lemon juice, soy sauce, honey, sugar, sesame oil and canola oil. Whisk together until well-blended and smooth.",662,32,58,35,5,0,0,0,145,912,1448,7,18,4447,96,104,3,https://www.kawalingpinoy.com/wp-content/uploads/2015/02/thai-chicken-salad-1-1152x1536.jpg,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"Ginisang Repolyo with Eggs","Ginisang Repolyo with Eggs is a nutritious and delicious dish you can cook in minutes using a handful of simple, affordable ingredients. It's a go-to recipe for busy weeknight dinners!",10 minutes,10 minutes,6,2 tablespoons oil|6 large eggs well beaten|1 onion peeled and sliced thinly|2 cloves garlic peeled and minced|2 large carrots peeled and julienned|1 head cabbage shredded|1 tablespoon soy sauce|1 teaspoon sugar|1 sachet (8 grams) Magic Sarap all-purpose seasoning|pepper to taste,"In a wide pan, heat about 2 tablespoons oil. Add beaten eggs and cook on low heat, breaking apart with the back of the spoon, until set but still slightly wet. Remove from heat and set aside.|In the pan, add another tablespoon of oil. Add onions and garlic and cook until softened.|Add carrots and cook for about 30 to 40 seconds. Add cabbage and cook, stirring regularly, until it loses volume.|Add soy sauce, sugar, and Magic Sarap. Continue to cook until cabbage softens and carrots are tender-crisp.|Add scrambled eggs.|Season with pepper to taste.",171,14,9,10,2,2,5,0.04,186,283,440,5,7,4428,58,102,2,https://www.kawalingpinoy.com/wp-content/uploads/2025/01/ginisang-repolyo-with-eggs-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Macaroni Ham Salad","Macaroni Ham Salad is a timeless family favorite for good reason! It’s a simple recipe and can easily serve a large crowd. It's perfect for potlucks, picnics, or special occasions, but it also works as a quick meal!",10 minutes,30 minutes,8,"water|2 cups uncooked pasta salad|salt|½ pound chicken breast, boneless, skinless|½ cup carrots, diced|½ pound Mekeni Deli Premium Ham, diced|⅔ cup pineapple tidbits, drained|2 tablespoons onions, peeled and finely chopped|⅓ cup sweet pickle relish|¼ cup raisins|1 ½ cups mayonnaise|2 tablespoons pineapple juice, reserved from canned pineapples|2 tablespoons sugar|pepper to taste|½ cup cheese, diced","In a pot, add water and salt. Bring to a boil. Add macaroni noodles. Stir and cook according to package directions. Drain well and set aside.|In another pot, add chicken breast and enough water to cover the breast. Bring to a boil and skim scum that floats. Lower heat, cover, and simmer for 15 to 20 minutes. Remove, drain, and allow it to cool completely. Shred and set aside. |In a pot, bring about 2 to 3 cups of water to a boil. Blanch carrots for about 30 seconds, then plunge into an ice bath until completely cool. Drain well and set aside.|In a large bowl, add cooked macaroni noodles, blanched carrots, pineapple tidbits, onion, pickle relish, raisins, shredded chicken, Mekeni Deli ham, mayonnaise, pineapple juice, sugar, salt and pepper to taste. Toss to combine. Add in cheese and gently toss.|Refrigerate for a few hours or overnight for the flavors to meld.",535,35,17,36,7,19,8,0.1,56,797,368,2,11,1577,13,70,1,https://www.kawalingpinoy.com/wp-content/uploads/2024/12/macaroni-ham-salad-1152x1536.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Kultyas,Kultyas or ginisang kamatis is a delicious and nutritious side dish the whole family will love. Enjoy for breakfast with sinangag and tuyo or for lunch with steamed rice and fried bangus.,10 minutes,10 minutes,4,"2 tablespoons oil|1 onion, peeled and chopped|6 cloves garlic, peeled and minced|10 large very ripe Roma tomatoes, chopped (about 4 cups)|1 packet (8 gms) Maggi Magic Sarap|pepper to taste|3 eggs, well beaten","In a wide pan, heat oil over medium heat. Add onions and garlic and cook until softened.|Add tomatoes and cook, mashing with the back of the spoon. Cover and continue to cook, stirring occasionally, until very soft and release juices.|Season with Maggi Magic Sarap and pepper to taste.|Add beaten eggs in a slow stream, stirring regularly to scramble. Cook until eggs are set.",158,11,6,11,2,3,6,0.04,123,57,487,3,5,1491,25,68,2,https://www.kawalingpinoy.com/wp-content/uploads/2024/10/kultyas-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Grilled Shrimp Mango Avocado Salad,"Grilled Shrimp Mango Avocado Salad is a refreshing medley of flavors you'd love as a side dish or a light lunch. Chock-full of grilled shrimps, juicy mangoes, creamy avocados, and crisp cucumbers with a tangy honey lime dressing, it's healthy and delicious.",15 minutes,5 minutes,4,"1 pound large shrimp, peeled and deveined|1 teaspoon salt|½ teaspoon garlic powder|¼ teaspoon pepper|2 large mangoes, peeled, pitted and cut into 1-inch cubes|2 large avocados, peeled, pitted and cut into-inch cubes|4 Persian cucumbers, halved lengthwise and cut into 1-inch cubes|½ small red onion, peeled and sliced thinly|¼ cup freshly-squeezed lime juice|2 tablespoons honey|1 tablespoon olive oil|salt and pepper to taste","In a bowl, combine shrimp, salt, garlic powder, and pepper. Marinate for about 8 to 10 minutes.|Over high heat. heat a lightly greased grill pan until very hot. Add shrimp in a single layer and cook for about 2 to 3 minutes until color begins to change to pink. Turn and cook for another 2 to 3 minutes.|Remove from pan, cover, and chill in the refrigerator until completely cooled.|Meanwhile, combine lime juice, honey, olive oil, and salt and pepper to taste. Stir well.|In a large bowl, combine grilled shrimp, mangoes, avocados, cucumbers, and red onions.|Drizzle honey-lime dressing and gently toss to combine. ",405,34,26,20,2,0,0,0,285,1473,836,8,22,1100,51.8,198,3.3,https://www.kawalingpinoy.com/wp-content/uploads/2017/06/grilled-shrimp-avocado-mango-salad-1-1152x1536.jpg,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Poqui Poqui,"Poqui Poqui is delicious vegetable dish made of roasted eggplant, tomatoes, and eggs. Perfect for breakfast or dinner meal!",5 minutes,15 minutes,4,"2 large eggplants|2 tablespoons oil|1 small onion, peeled and sliced thinly|2 cloves garlic|2 large Roma tomatoes, chopped|4 eggs, beaten|salt and pepper to taste","Over hot coals or gas stove, grill eggplants until skins are charred. Remove from heat and under running water, peel skin and rinse well. Coarsely chop flesh.|In a skillet over medium heat, heat oil. Add onions and garlic and cook until softened.|Add tomatoes and continue to cook, mashing with the back of the spoon, until softened. |Add eggplant. Season with salt and pepper to taste.|Add beaten eggs, stirring to combine, and continue to cook until eggs are just set. Serve hot.",206,19.6,8.9,11.8,2.3,0,0,0,164,362,832,9.6,10.4,950,26.4,60,1.6,https://www.kawalingpinoy.com/wp-content/uploads/2017/04/poqui-poqui-1-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Singapore Noodles","Singapore Noodles are a Chinese takeout favorite for good reason. This noodle dish is seasoned with curry powder and loaded with bell peppers, shrimp, chicken, and sweet sausage!",20 minutes,20 minutes,8,"1 package (6.5 ounces) rice noodle vermicelli (bihon)|¼ pound boneless, skinless chicken breast, sliced thinly|1 teaspoon cornstarch|2 tablespoons oyster sauce|2 tablespoons soy sauce|2 tablespoons Chinese wine|1 teaspoon sugar|canola oil|¼ pound shrimp, peeled and deveined|4 pieces Chinese sausage, sliced thinly on a bias|4 eggs|1 onion, peeled and sliced thinly|2 cloves garlic, peeled and minced|½ red bell pepper, seeded, cored, and sliced into strips|½ green bell pepper, seeded, cored, and sliced into strips|2 tablespoons curry powder|1 cup bean sprouts|salt and pepper to taste","Soak vermicelli in hot water until softened, then drain well|In a small bowl, whisk together oyster sauce, soy sauce, Chinese wine, and sugar; set aside|Coat chicken with cornstarch and let stand for 8–10 minutes, then drain|In a wide pan over medium-high heat, heat 1 tbsp oil, scramble eggs until just set, remove and keep warm|Add 2 tbsp oil, cook chicken until color changes, remove and keep warm|Cook shrimp until pink, remove with slotted spoon and keep warm|Add oil if needed, cook Chinese sausages until lightly browned, remove and keep warm|Heat 1 tbsp oil, sauté onions and garlic until softened, then add bell peppers and cook until tender-crisp|Add rice noodles, chicken, sausages, and shrimp, then pour in sauce mixture and sprinkle curry powder; toss gently to coat evenly|Add scrambled eggs and bean sprouts, toss for 1–2 minutes until heated through|Season with salt and pepper to taste and serve hot.",122,5,9,7,1,0,0,0,86,400,176,1,2,335,19.1,42,1.3,https://www.kawalingpinoy.com/wp-content/uploads/2021/07/singapore-noodles-1-1152x1536.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Hawaiian Macaroni Salad,"Hawaiian-style Macaroni Salad is creamy, tangy, and the perfect sides for BBQs, potlucks, and holiday parties. It's easy to make and sure to be a crowd-pleaser!",15 minutes,10 minutes,8,"1 pound uncooked elbow macaroni|½ cup shredded carrots|¼ cup grated onions|2 tablespoons apple cider vinegar|2 cups mayonnaise|½ cup milk|2 tablespoons brown sugar|½ teaspoon salt|¼ teaspoon pepper|green onions, chopped","In a pot over medium heat, bring about 4 quarts of water to a boil, add elbow macaroni and cook according to package directions, then drain well and transfer to a large bowl|While still hot, drizzle apple cider vinegar over the pasta and allow to cool|In another bowl, whisk together mayonnaise, milk, brown sugar, salt, and pepper until smooth|Add shredded carrots and grated onions to the pasta and gently toss to distribute evenly|Add half of the dressing to the macaroni mixture and stir to combine, seasoning with salt and pepper to taste, then let stand for a few minutes to allow pasta to absorb the dressing|Add the remaining dressing and stir to fully coat|Garnish with chopped green onions if desired|Cover with a tight-fitting lid and refrigerate for 2 to 3 hours until completely chilled and flavors have melded. Serve cold.",618,48,9,43,7,0,0,0,25,518,191,2,7,1398,1,39,1,https://www.kawalingpinoy.com/wp-content/uploads/2020/11/hawaiian-macaroni-salad-6-1152x1536.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Tuna Pasta Salad","Creamy Tuna Pasta Salad is hearty, flavorful, and makes a great side dish or light meal. Perfect for parties, potlucks or picnics and is sure to be a crowd favorite.",10 minutes,20 minutes,4,"1 cup uncooked fusilli pasta|1 can (6.35 ounces) tuna, drained well|¼ cup gherkins pickles, chopped|¼ cup red bell peppers, chopped|¼ cup celery, chopped|½ red onion, peeled and chopped|1 hard-boiled egg, peeled and chopped|¼ cup mayonnaise|½ tablespoon pickle juice|salt and pepper","In a pot of boiling water, cook pasta according to package directions until al dente|Using a colander, drain pasta and rinse well, then let cool completely|In a large bowl, combine cooked pasta, tuna, gherkins pickles, red bell peppers, celery, red onions, hard-boiled eggs, mayonnaise, and pickle juice|Gently stir to combine and season with salt and pepper to taste|Refrigerate for about 30 minutes to allow flavors to meld|Serve cold.",218,14,12,13,2,0,0,0,68,322,181,1,2,425,13,26,1,https://www.kawalingpinoy.com/wp-content/uploads/2020/05/tuna-pasta-salad-2-1152x1536.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Snow Peas with Shrimp Stir-fry","Snow Peas with Shrimp Stir-fry is an easy and mouth-watering stir-fry consisting of crunchy and sweet snow peas, stir-fry veggies, juicy large shrimp, and hardboiled quail eggs, mixed in a savory stir-fry sauce.  Serve it with steamed rice or noodles for a delicious mid-week family meal!",15 minutes,15 minutes,4,"¼ cup light soy sauce (Kikkoman)|½ cup water|¼ cup oyster sauce|2 tablespoons Chinese cooking wine|1 tablespoon corn starch|1 tablespoon sugar|¼ teaspoon pepper|canola oil|1 pound snow peas, ends trimmed|1 large carrot, peeled and cut thinly in a bias|2 stalks celery, cut thinly in a bias|12 quail eggs, hardboiled and peeled|½ pound large shrimp, peeled and deveined|1 onion, peeled and sliced thinly|2 cloves garlic, peeled and minced","In a bowl, combine soy sauce, water, oyster sauce, Chinese cooking wine, cornstarch, sugar, and pepper, stirring until cornstarch is dissolved, then set aside|In a wok or wide pan over medium heat, heat 1 tablespoon of oil, add snow peas and cook for about 10 seconds, then remove and drain on paper towels|Add carrots and celery to the pan and cook for about 30 seconds or until half done, then remove and drain|Add another tablespoon of oil if needed, cook shrimp for 2 to 3 minutes or until pink, then remove and drain|Wipe down wok as needed, add 1 tablespoon oil, sauté onions and garlic until softened|Stir the sauce mixture to redistribute cornstarch and add to wok, bringing it to a boil|When sauce thickens, add shrimp, quail eggs, celery, carrots, and snow peas, and cook for another 2 to 3 minutes or until heated through|Serve hot.",291,22,17,14,2,4,8,0.05,299,1599,516,4,10,4120,72,128,4,https://www.kawalingpinoy.com/wp-content/uploads/2016/02/snowpeas-with-shrimp-stir-fry-3-1152x1536.jpg,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Kabocha Salad","This Kabocha Salad is creamy with a hint of sweetness, the perfect side dish for any meal!",45 minutes,20 minutes,6,"1 whole (2 to 3 pounds) kabocha (kalabasa)|1 large carrot, peeled and shredded|2 tablespoons green onions, chopped|2 tablespoons raisins|¼ cup mayonnaise|salt and pepper to taste|2 tablespoons chopped walnuts","Using a sharp knife, cut kabocha in half and scoop out the seeds, then carefully peel the skin and slice the flesh into 1 to 1 ½-inch chunks|In a saucepan, place kabocha and enough water to cover, bring to a boil and cook until kabocha can be pierced with a fork but not falling apart|Drain kabocha well and allow to cool completely|In a large bowl, roughly mash the tender kabocha with a fork|Add shredded carrots, green onions, and raisins|Add mayonnaise and gently stir to combine, seasoning with salt and pepper to taste|Top with chopped walnuts, additional raisins, and shredded carrots if desired, and serve cold.",160,19,2,9,1,0,0,0,3,81,650,3,4,5485,20.5,52,1.2,https://www.kawalingpinoy.com/wp-content/uploads/2018/10/Korean-Kabocha-Salad-4-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Ensaladang Pipino",Filipino-style cucumber salad is easy to put together and so light and refreshing! It's the perfect side for your Summer cookouts and barbecues!,10 minutes,10 minutes,4,"½ cup vinegar|2 tablespoons fish sauce|1 teaspoon sesame oil|1 tablespoon sugar|1 teaspoon salt|1 Thai chili pepper, minced|½ teaspoon peppercorns, freshly cracked|2 large cucumbers, washed and sliced thinly|1 small red onion, peeled and sliced thinly","In a small bowl, combine vinegar, fish sauce, sesame oil, chilis, sugar, salt, and peppercorns, whisking until sugar is dissolved|In a large bowl, combine cucumber and onions|Add vinegar mixture and toss gently|Chill in the refrigerator to allow flavors to meld.",60,10,2,1,1,1,1,0,0,1293,281,2,7,121,9,36,1,https://www.kawalingpinoy.com/wp-content/uploads/2013/08/ensaladang-pipino-3-1-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
