title,summary,prep_time,cook_time,servings,ingredients,instructions,calories,carbohydrates,protein,fat,saturated_fat,polyunsaturated_fat,monounsaturated_fat,trans_fat,cholesterol,sodium,potassium,fiber,sugar,vitamin_a,vitamin_c,calcium,iron,image_url,Vegetarian,Low-Purine,Low-fat/Heart-Healthy,Low-Sodium,Lactose-free,Peanut Allergy,Shellfish Allergy,Fish Allergy,Halal or Kosher
"Ensaladang Talbos ng Kamote","Sweet potato leaves and tomato salad with a simple vinaigrette dressing. It's an easy-to-make, healthy, and delicious side dish that pairs well with your favorite grilled meat or fish.",5 minutes,2 minutes,4,"1 bundle kamote leaves|1 large Roma tomato, diced|2 shallots, peeled and sliced thinly|¼ cup vinegar|2 cloves garlic, peeled and minced|1 teaspoon fish sauce|1 teaspoon canola or olive oil|½ teaspoon sugar|salt and pepper to taste","Pick the leaves from the stems|wash and drain well under cold, running water|Steam kamote leaves for about 1 to 2 minutes or just until wilted. Or, in a pot over medium heat, bring about 2 cups of water to a boil and briefly dip leaves in the boiling water for about 10 to 20 seconds or just wilted|Quickly plunge leaves in iced water for about 30 to 40 seconds or until cold, then drain well|In a bowl, combine kamote leaves, tomatoes, and shallots|In a small bowl, combine vinegar, garlic, fish sauce, oil, sugar, and salt and pepper to taste|Drizzle dressing over the salad and gently toss to combine.",40,6,2,1,1,0,0,0,0,165,395,2,2,5446,19,61,2,https://www.kawalingpinoy.com/wp-content/uploads/2016/05/ensaladang-talbos-ng-kamote-3-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Tofu, Asparagus and Mushroom Stir-Fry",Tofu and Asparagus Stir-fry cooks in minutes and makes a tasty side dish with steamed rice. This vegan dish is delicious as it is nutritious with good-for-you nutrients and protein!,15 minutes,15 minutes,4,"1 ounce dried shiitake mushrooms|1 package (14 ounces) firm tofu, drained|1 tablespoon canola oil|1 small onion, peeled and sliced thinly|2 cloves garlic, peeled and minced|1 bunch (about 2 cups) asparagus, ends trimmed and cut diagonally into 2-inch pieces|1 cup water or liquid from soaking mushrooms|½ cup vegetarian mushroom oyster sauce|¼ cup light soy sauce (I use Kikkoman)|¼ cup Chinese cooking wine|2 tablespoons sugar|1 tablespoon cornstarch|¼ teaspoon pepper","In a small bowl, cover mushrooms with warm water and soak for about 20 to 30 minutes or until soft|Drain mushrooms and reserve 1 cup of the liquid if using|Cut off and discard stems|Cut caps into thin slices|Drain tofu well and pat dry with paper towels|Cut into 1-inch cubes and set aside|In a bowl, combine stir-fry sauce ingredients: water (liquid from soaking mushrooms), oyster sauce, soy sauce, Chinese cooking wine, sugar, cornstarch, and pepper|Stir until smooth and well-blended|Set aside|In a wide skillet or wok over medium-high heat, heat oil|Add onions and garlic and cook until softened|Add asparagus and cook, stirring regularly, for 3 to 4 minutes or until half-done|Add mushrooms and cook for about 1 minute|Add stir-fry sauce and bring to a simmer for about 1 to 2 minutes or until slightly thickened|Add tofu and continue to cook for another 2 to 3 minutes or until tofu cubes are heated through and asparagus is tender-crisp|Serve hot.",169,17.3,0,7.5,1.3,0,0,0,0,1158,356,3,9.1,500,8.3,220,3.4,https://www.kawalingpinoy.com/wp-content/uploads/2017/03/tofu-asparagus-mushroom-stir-fry-1-1-1024x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Chinese Chicken Salad","Chinese Chicken Salad is the mother of all salads! Chock full of lettuce, carrots, edamame, poached chicken, and crisp wonton strips in a sweet and tangy Asian-inspired dressing, it's like a party in your mouth! It's a great side dish or light meal the whole family will love.",10 minutes,20 minutes,6,"1 pound boneless, skinless chicken breast|1 teaspoon salt|1 package (12 ounces) wonton wrappers, cut into thin strips|¼ cup canola oil|1 head iceberg lettuce, torn|¼ head red cabbage, shredded|1 large carrot, peeled and julienned|½ cup edamame|½ cup rice vinegar|2 tablespoons soy sauce|2 tablespoons sesame oil|¼ cup brown sugar|1 tablespoon chili garlic sauce|1 thumb-size ginger, peeled and grated","In a pot over medium heat, combine chicken, salt, and enough water to cover. Bring to a boil, skimming scum that floats on top.|As soon as the water comes to a boil, lower heat, cover, and simmer for about 12 to 15 minutes or until chicken turns opaque and a thermometer inserted in the thickest part of the meat reads 165°F. |With a slotted spoon, remove chicken from the pot and chill in the refrigerator until completely cooled. Coarsely shred. |In a wide pan over medium heat, heat oil to 350 F. Add the wonton strips in batches and fry, stirring regularly, for about 1 to 2 minutes or until golden. With a slotted spoon, remove from oil and drain on paper towels. Wonton strips will crisp as they cool.|In a large bowl, combine chicken, lettuce, red cabbage, carrots, and edamame. Just before serving, drizzle with dressing and garnish with fried wonton strips. Gently toss to combine. |In a bowl, combine rice vinegar, soy sauce, sesame oil, sugar, chili garlic sauce, and ginger. Whisk together until well-blended.",476,61,26,13,1,0,0,0,55,1407,666,4,13,2575,24.8,90,4,https://www.kawalingpinoy.com/wp-content/uploads/2020/12/chinese-chicken-salad-8-1024x1536.jpg,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Tofu and Bean Sprouts Stir Fry,"Bean Sprouts and Tofu vegetable stir-fry is a tasty and filling side dish the whole family will love. It's quick and easy to make and budget-friendly, too.",5 minutes,10 minutes,4,"1 package (12 ounces) firm tofu|2 tablespoons canola oil|1 small onion, chopped|2 cloves garlic, minced|1 large carrot, peeled and cut thinly|4 cups bean sprouts|salt and pepper to taste","Drain tofu from packing liquid. Pat dry with paper towels to absorb moisture. Cut into ½-inch cubes|In a wide skillet over medium heat, heat oil|Add tofu and spread into a single layer. When starting to crisp, turn and continue to cook until lightly browned. Remove from pan, drain excess oil on paper towels, and keep warm|Add onions and garlic to the pan and cook until softened|Add carrots and cook for about 1 minute or until tender yet crisp|Add tofu and bean sprouts and stir fry briefly for about 1 to 2 minutes. Season with salt and pepper to taste. Serve hot.",184,13,11,11,1,0,0,0,0,22,244,3,6,2570,17,134,2,https://www.kawalingpinoy.com/wp-content/uploads/2020/04/ginisang-togue-tokwa-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Filipino-style Macaroni Salad","Chicken Macaroni Salad with ham, crushed pineapple, and raisins is perfect for potlucks or parties. Hearty, tasty, and loaded with tropical flavors, it's sure to be a crowd favorite.",20 minutes,30 minutes,12,"1 pound uncooked medium elbow macaroni|1 pound boneless, skinless chicken breast or thigh meat|1 large carrot, peeled and diced|1 cup ham, cubed|6 hard-boiled eggs, peeled and coarsely chopped|1 can (14 ounces) crushed pineapple|1 cup Eden or Velveeta Cheese, cubed|½ cup sweet pickle relish|1 cup raisins|1 onion, peeled and diced|1 ½ cups mayonnaise|½ cup sweetened condensed milk|salt and pepper to taste","In a pot over medium heat, bring about 4 quarts salted water to a boil. Add macaroni and cook according to package directions for about 8 to 9 minutes or until firm to bite. Drain well and allow to cool completely.|In a pot, add chicken meat and enough water to cover. Bring the water to a boil, skimming scum that floats on top. Lower heat, cover, and simmer for about 15 to 20 minutes or until cooked through. Drain from the liquid, allow to completely cool and shred. Set aside.|In a pot, bring water to a boil. Add diced carrots and cook for about 30 seconds. With a slotted spoon, remove from water and plunge into an ice bath until completely cool. Drain and set aside.|In a large bowl, combine macaroni, chicken, carrots, ham, eggs, crushed pineapple including packing juice, cheese, sweet pickle relish, raisins, onions, mayonnaise, and sweetened condensed milk. Gently stir together until evenly distributed.|Season with salt and pepper to taste. Refrigerate for about 1 hour to cool completely and to allow flavors to meld.",600,57,24,30,7,0,0,0,149,812,580,2,18,1375,5.6,186,1.7,https://www.kawalingpinoy.com/wp-content/uploads/2018/09/filipino-style-macaroni-salad-4-1152x1536.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Asian Cucumber Tomato Avocado Salad,"Cucumber, Tomato, and Avocado Salad with Asian vinaigrette dressing is full of fresh flavor and texture that's like a party in your mouth! It's a delicious and nutritious side dish you'll love year-round!",15 minutes,15 minutes,4,"1 large cucumber, peeled and cubed|2 Roma tomatoes, seeded and cubed|2 avocados, peeled, pitted and cubed|½ red onion, peeled and sliced thinly|½ cup rice wine vinegar|2 tablespoons sesame oil|2 tablespoons sugar|2 teaspoons salt","In a large bowl, combine cucumbers, tomatoes, avocados, and red onions.|In a small bowl, combine rice wine vinegar, sesame oil, sugar, and salt. Whisk together until sugar and salt are dissolved.|Add dressing to cucumber salad and gently toss to distribute.|Refrigerate for about 10 to 15. minutes and serve immediately.",296,25,2,21,3,0,0,0,0,1174,682,7,15,460,17.7,29,0.8,https://www.kawalingpinoy.com/wp-content/uploads/2018/06/cucumber-tomato-avocado-salad-5-1-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Lumpiang Hubad,"Lumpiang Hubad has all your favorite lumpia sariwa flavors but sans the wrapper! With a colorful medley of vegetables, tofu, and a garlicky peanut sauce, it's delicious as snack or light meal.",30 minutes,20 minutes,8,"1 package (14 ounces) firm tofu|canola oil|1 onion, peeled and chopped|2 cloves garlic, peeled and minced|1 tablespoon fish sauce|1 large singkamas (jicama), peeled and cut into ½-inch cubes|2 large carrots, peeled and cut into ½-inch cubes|2 large kamote, peeled and cut into ½-inch cubes|1 cup water|2 cups garbanzo beans|1 cup green beans, ends trimmed and cut thinly on a bias|salt and pepper to taste|2 ½ cups water|¼ cup soy sauce|¾ cup brown sugar|½ teaspoon salt|3 tablespoons corn starch|1 cup unsalted peanuts, crushed|1 head garlic, peeled and minced|2 tablespoons peanut butter|unsalted peanuts, crushed|garlic, peeled and minced","Drain tofu from packing liquid. Pat with paper towels to absorb excess liquid. Cut into ½-inch cubes.|In a wide pan over medium heat, heat about 2 tablespoons oil until very hot. Add tofu and cook, turning as needed, until lightly browned. Remove from pan and drain on paper towels.|Wipe down the pan as needed. Heat another 1 tablespoon of oil.  Add onions and garlic and cook until softened. |Add fish sauce and cook for about 1 minute.|Add singkamas, carrots, and sweet potatoes. |Add water and bring to a boil. Lower heat, cover, and continue to cook until vegetables are tender yet crisp. |Add tofu, garbanzo beans, and green beans, stirring to combine. |Season with salt and pepper to taste. |Continue to cook for another 2 to 3 minutes or until garbanzo beans and tofu are heated through and green beans are tender yet crisp. |Remove from the pan and drain excess liquid. You can use this liquid to make the sauce and just add water to total 2 ½ cups.|In a saucepot over medium heat, combine water (or the reserved liquid from cooking the vegetables), soy sauce, brown sugar, and salt. Bring to a boil, stirring regularly, until sugar is dissolved. |Add garlic and peanuts. Continue to cook for about 2 to 3 minutes.|In a bowl, combine corn starch and ¼ cup cold water. Stir until mixture is smooth.|Slowly add corn starch mixture to soy sauce mixture, whisking vigorously to prevent lumps. Continue to cook, whisking regularly, until thickened. |Add peanut butter and stir until dissolved.|Spoon vegetable mixture on serving plates, pour peanut sauce on top and garnish with crushed peanuts and minced fresh garlic as desired.",417,59,16,14,2,0,0,0,0,790,704,11,28,8915,28.5,158,3.6,https://www.kawalingpinoy.com/wp-content/uploads/2017/07/lumpia-hubad-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Thai Mango Salad,"Thai Mango Salad is fresh, healthy, and nutritious! Loaded with juicy fruit, bean sprouts, toasted coconut, crunchy peanuts, and fragrant basil drizzled with lime dressing, it's like a party in your mouth!",15 minutes,2 minutes,4,"2 limes, juiced|2 tablespoons fish sauce|2 tablespoons brown sugar|1 tablespoon vegetable oil|1 Thai chili pepper, stemmed and minced|½ cup sweetened shredded coconut|3 ripe but very firm large Indian mangoes, peeled and julienned|3 cups bean sprouts|½ cup peanuts, coarsely chopped|½ cup fresh basil leaves, chiffonaded","In a bowl, combine lime juice, fish sauce, sugar, oil, and chili peppers. Whisk until well-blended and sugar is dissolved. Set aside.|In a skillet over medium heat, add coconut. Cook, stirring regularly, for about 1 to 2 minutes or until lightly toasted. Remove immediately from pan and allow to cool.|In a large bowl, combine mango, bean sprouts, basil, toasted coconut and chopped nuts. Gently toss to distribute. When ready to serve, drizzle with lime dressing and toss.",409,57.8,13.2,18.3,5.9,0,0,0,0,738,889,5.9,45.1,1400,135.3,60,2.2,https://www.kawalingpinoy.com/wp-content/uploads/2017/03/fresh-Thai-Mango-Salad-Process-3-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Tortang Talong","Tortang Talong is a Filipino dish made of grilled eggplants and fluffy eggs. This Filipino-style omelet is easy to make with simple ingredients and in under 30 minutes.  It's an economical yet satisfying meal that pairs well with steamed rice.",5 minutes,15 minutes,4,4 eggplants|4 eggs|salt and pepper to taste|¼ cup oil,"With a knife or fork, prick eggplant. Arrange eggplants in a single layer directly on a gas stovetop over high flame and roast, rotating occasionally with tongs, until slightly softened and skin is evenly charred.|Remove from heat and allow to cool to touch. Peel the skin and gently rinse under cold, running water to rid of stray skin. With the back of a fork, flatten the eggplants but leaving the stems intact.|In a wide pan over medium heat, heat oil.|In a shallow bowl, combine eggs and salt and pepper to taste. Beat until foamy.|Holding by the stem, dip the eggplant in the beaten eggs and quickly slide into the pan.|Cook for about 2 to 3 minutes on each side or until golden. Repeat with remaining eggplants.",301,27,10,19,3,0,0,1,164,72,1110,14,16,343,10,66,2,https://www.kawalingpinoy.com/wp-content/uploads/2014/03/tortang-talong-3-1152x1536.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Laing,"Taro leaves with chili peppers and pork cooked in coconut milk with bagoong alamang.",10 minutes,70 minutes,8,3.5 oz taro leaves dried|6 cups coconut milk|2 cups coconut cream|1/2 cup shrimp paste bagoong or balaw|1/2 lb. pork shoulder thinly sliced|5 to 7 pieces red chilies|1 piece onion sliced|1/2 cup sliced ginger|8 cloves garlic crushed,"Combine the coconut milk, pork, shrimp paste, ginger, onion, and garlic in a cooking pot. Heat the pot and let boil.|Once the mixture starts to boil, gently stir to mix the ingredients. Cover the pot and simmer for 15 to 20 minutes. Make sure to stir once in a while to prevent the ingredients from sticking on the bottom of the cooking pot.|Add the dried taro leaves. Do not stir. Let it stay until the leaves absorb the coconut milk. This takes about 20 to 30 minutes. You can gently push the leaves down so that it can absorb more coconut milk.|Once the leaves absorb the coconut milk, stir the leaves and then continue to cook for to 10 minutes.|Pour the coconut cream into the cooking pot. Add the red chilies. Stir. Cook for 10 to 12 minutes.|Transfer to a serving plate. Serve.",618,12,18,59,51,0,0,0,108,323,801,2,1,600,12.3,94,8.3,https://panlasangpinoy.com/wp-content/uploads/2015/01/Laing.jpg,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Adobong Kangkong,This is a recipe for adobong kangkong. It is a Filipino vegetable dish wherein the water spinach is cooked inadobo style.,5 minutes,15 minutes,3,1 bunch kangkong leaves and stalks separated. Stalks cut in 1-inch pieces|1 piece onion chopped|1 head garlic crushed and chopped|1/4 cup soy sauce|1/8 cup vinegar|1/2 cup water optional|3 tablespoons cooking oil|Ground black pepper,Heat oil in a pan.|Add the garlic. Saute until the color turns golden brown. Scoop-out a quarter of the browned garlic and put in a clean bowl. Save this later for garnish.|Add chopped onion. Saute until it softens.|Pour the soy sauce and vinegar in the pan. Let the liquid boil.|Add the Kangkong stalks. Cook for 2 minutes.|Add the Kangkong leaves. Stir. Continue cooking for 30 to 1 minute. |Cover the pan and cook for 1 minute.|Season with ground black pepper. Note: you may also add salt if needed.|Transfer to a serving bowl and then top with browned garlic. Serve.,169,8,4,14,1,0,0,1,0,1106,190,1,2,1178,16,45,1,https://panlasangpinoy.com/wp-content/uploads/2010/07/Filipino-adobong-kangkong-2.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Mixed Vegetable Okoy (Filipino Fritters),These Mixed Vegetable Okoy or Filipino Fritters are thin and crispy fritters with a pink sweet chili vinegar dipping sauce. This is a great way to use up leftover vegetables you have!,20 minutes,20 minutes,12,"4 packed cups grated and sliced vegetables of choice|1 small onion diced or sliced|1 green onions or scallions chopped|1 ¾ tsp salt , or to taste|½ cup cornstarch|1 cup all-purpose flour or other flour of choice|Freshly ground black pepper|Neutral oil for frying|½ cup distilled white vinegar|½ tsp salt|2-3 chiles chopped or crushed (optional for spice)|2 tbsp cane sugar, or to taste|¼ tsp freshly ground black pepper|1 medium-sized red onion diced","Prepare your vegetables.|To grate the pumpkin and carrot, I used a cheese grater.|For the green beans/french beans, I just snapped off the ends then finely chopped these.|You can see the notes below for other vegetable suggestions!|This recipe is easily customisable so feel free to add other vegetables of choice.|Place the mixed vegetables and onions in a large bowl.|Add in the salt.|Mix the vegetables well and allow to sit for 15-20 minutes.|This will help draw out some of the moisture from the vegetables.|The water from the vegetables will also help bind everything together.|To the bowl, add in the cornstarch, flour, and pepper.|Mix everything together until the vegetables are coated in the cornstarch-flour mixture.|To check if the mixture holds up well, get a generous amount and shape it in your hands.|It should hold up well.|If you find the mixture too wet and doesn’t hold very well, you can add 1 to 2 (8 to 16 g) more of flour.|The mix may naturally release more liquid as time passes.|If needed, you may need to add more flour and mix it well.|Heat a large frying pan or wok over medium high heat.|Add in enough neutral oil to submerge the fritters.|You can check the notes below for other cooking methods but deep frying is my preferred and recommended way for optimal crispiness.|Meanwhile, prepare the dipping sauce by mixing together all the ingredients until the sugar is diluted.|You can prepare this beforehand and just store it in an air-tight jar or container at room temp for 4-5 days.|The longer the onions soak in the vinegar, the better they taste.|For the chili, you can opt to remove the seeds for less spice.|Once the oil is hot and you see small bubbles, scoop around ½ cup (120 g) of the mixture and then flatten on your palm until around 1/2-inch (1.25 cm) thick.|Carefully slide the fritter into the oil.|The fritters should immediately sizzle in the oil.|You can continue to flatten the fritters once submerged in the oil by using a spatula.|Fry on each side for 3-4 minutes or until golden brown and crisp on the edges then flip over to repeat the same.|Once the fritters are crisp throughout, remove them from the oil and transfer on a strainer to drain out any excess oil.|Make sure not to cover them while still hot to prevent them from getting soggy.|After cooking the rest of the fritters, turn off the heat.|Serve the freshly cooked fritters hot with the vinegar.|Scoop the diced onions from the sauce and placing these on top of my fritters.|Enjoy!",110,21,2,4,1,1,1,0,0,442,202,3,3,71,18,20,1,https://thefoodietakesflight.com/wp-content/uploads/2021/11/Vegan-Mixed-Vegetable-Okoy-Filipinp-Fritters-Recipe-12-of-15-678x1024.jpg,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Garlic Mushroom,"Mushrooms sauteed in onion with white wine and thyme and lots of garlic.",5 minutes,15 minutes,3,8 ounces mushrooms|1 teaspoon Knorr Liquid Seasoning|5 cloves garlic|1 teaspoon thyme|2 teaspoons parsley chopped|3 ounces dry white wine|3 tablespoons butter|1 tablespoon olive oil|1 onion minced|Salt and ground black pepper to taste,"Melt butter in a pan and then add the olive oil.|Once the butter is completely melted and the bubbling subsides, add the garlic. Saute until the garlic turns light brown.|Add the onion. Cook until it softens|Add the mushrooms. Cook for 1 minute while stirring.|Add Knorr liquid seasoning and pour the white wine into the pan. Add thyme. Cook until the wine reduces to a quarter.|Season with salt and pepper. Top with chopped parsley.|Serve and enjoy!",617,26,10,49,24,3,19,1,90,628,1039,5,10,1165,21,87,2,https://panlasangpinoy.com/wp-content/uploads/2023/09/garlic-mushroom-recipe.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Pico de Gallo","Pico de Gallo is a fresh, chunky side dish made from diced tomatoes, onions, cilantro, and lime juice, often with a kick of jalapeño.",15 minutes,1 minute,4,"4 tomatoes diced|1/2 cup cilantro chopped|1 onion white or red, diced|1/2 lemon|1 jalapeno chopped|1 teaspoon salt|1/4 teaspoon ground black pepper","In a large bowl, combine tomatoes and onion. Gently toss to mix.|Add the chopped cilantro and jalapeno.|Squeeze-in the lemon and sprinkle the salt and ground black pepper.|Serve and enjoy!",39,9,2,0.3,0.1,0.1,0.05,0,0,590,371,3,5,1201,31,25,1,https://panlasangpinoy.com/wp-content/uploads/2012/12/fresh-pico-de-gallo_-800x1418.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Roasted Garlic Parmesan Red Potato",This Roasted Garlic Parmesan Potato Recipe is so nice and tasty. It can probably be one of the best red potato recipes that you’ll ever try.,10 minutes,40 minutes,4,1 1/2 lbs red potatoes cleaned and cut into quarters|2 tablespoons melted unsalted butter|1 tablespoon olive oil|1 tablespoon grated Parmesan cheese|1 tablespoon minced garlic|1 teaspoon salt|1 piece lemon|A dash of ground black pepper,"Combine butter, garlic, lemon juice, olive oil, pepper, and salt. Mix well|Preheat oven to 370 degrees Fahrenheit|Place potatoes in an oven safe pan. Coat with the butter mixture|Sprinkle the Parmesan cheese on top.|Place the pan inside the oven and then bake for 35 to 45 minutes.|Serve as a side dish to chicken or pork dishes. Share and enjoy!",208,27,3,9,4,0,0,0,16,681,773,2,2,175,15.3,34,1.2,https://panlasangpinoy.com/wp-content/uploads/2012/09/Roasted-Garlic-Parmesan-Red-Potato.jpg,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Lumpia Recipe,"This is a basic Lumpia Recipe. It is also known as Lumpiang Shanghai. The filling is composed of ground pork along with minced onions, carrots, seasonings, and egg.",15 minutes,10 minutes,6,50 pieces lumpia wrapper|3 cups cooking oil|1 1/2 lbs ground pork|2 pieces onion minced|2 pieces carrots minced|1 1/2 teaspoons garlic powder|1/2 teaspoon ground black pepper|1/2 cup parsley chopped|1 1/2 teaspoons salt|1 tablespoon sesame oil|2 eggs,"Combine all ground pork, onion, carrots, garlic powder, ground black pepper, parsley,  salt,  sesame oil, and eggs in a bowl. Mix well.|Scoop around 1 to 1 1/2 tablespoons of filling and place over a piece of lumpia wrapper. Spread the filling and then fold both sides of the wrapper. Fold the bottom. Brush beaten egg mixture on the top end of the wrapper. Roll-up until completely wrapped. Perform the same step until all mixture are consumed.|Heat oil in a cooking pot. Deep fry lumpia in medium heat until it floats.|Remove from the pot. Let excess oil drip. Serve. Share and enjoy",1359,6,22,140,18,35,83,0.4,137,717,393,0.4,0.1,566,7,37,2,https://panlasangpinoy.com/wp-content/uploads/2019/12/longanisa-lumpiang-shanghai.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Garlic Spinach,This garlic spinach has all the green flavor you love with tasty garlicky goodness.,5 minutes,5 minutes,4,"1 tablespoon unsalted butter|6 cloves garlic, thinly sliced|2 (10 ounce) bags fresh spinach|½ medium lemon, juiced|½ teaspoon garlic salt, or to taste","Melt butter in a pot over medium heat.|Add garlic; cook and stir until fragrant, about 2 minutes.|Add spinach, a few handfuls at a time, stirring until wilted before adding more.|Stir in lemon juice and season with garlic salt.",68,8,5,4,2,0,0,0,8,360,831,4,0,0,51,158,4,https://www.allrecipes.com/thmb/hx7oqd5lVTS89ZrnNX9Bwq7FY1s=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/762479-84550d6c45d04866b0646d786b840f62.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE